,count,mean,std,min,25%,50%,75%,max
Id,1460.0,730.5,421.6100093688479,1.0,365.75,730.5,1095.25,1460.0
LotFrontage,1460.0,57.62328767123287,34.66430423090894,0.0,42.0,63.0,79.0,313.0
LotArea,1460.0,10516.828082191782,9981.264932379147,1300.0,7553.5,9478.5,11601.5,215245.0
OverallQual,1460.0,6.0993150684931505,1.3829965467415923,1.0,5.0,6.0,7.0,10.0
OverallCond,1460.0,5.575342465753424,1.1127993367127367,1.0,5.0,5.0,6.0,9.0
YearBuilt,1460.0,1971.267808219178,30.202904042525265,1872.0,1954.0,1973.0,2000.0,2010.0
YearRemodAdd,1460.0,1984.8657534246574,20.645406807709396,1950.0,1967.0,1994.0,2004.0,2010.0
MasVnrArea,1460.0,103.11712328767123,180.73137335812217,0.0,0.0,0.0,164.25,1600.0
BsmtFinSF1,1460.0,443.6397260273973,456.09809084092456,0.0,0.0,383.5,712.25,5644.0
BsmtFinSF2,1460.0,46.54931506849315,161.31927280654057,0.0,0.0,0.0,0.0,1474.0
BsmtUnfSF,1460.0,567.2404109589041,441.8669552924342,0.0,223.0,477.5,808.0,2336.0
TotalBsmtSF,1460.0,1057.4294520547944,438.7053244594705,0.0,795.75,991.5,1298.25,6110.0
1stFlrSF,1460.0,1162.626712328767,386.5877380410738,334.0,882.0,1087.0,1391.25,4692.0
2ndFlrSF,1460.0,346.99246575342465,436.5284358862591,0.0,0.0,0.0,728.0,2065.0
LowQualFinSF,1460.0,5.844520547945206,48.623081433519125,0.0,0.0,0.0,0.0,572.0
GrLivArea,1460.0,1515.463698630137,525.4803834232027,334.0,1129.5,1464.0,1776.75,5642.0
BsmtFullBath,1460.0,0.42534246575342466,0.5189106060897992,0.0,0.0,0.0,1.0,3.0
BsmtHalfBath,1460.0,0.057534246575342465,0.23875264627920764,0.0,0.0,0.0,0.0,2.0
FullBath,1460.0,1.5650684931506849,0.5509158012954318,0.0,1.0,2.0,2.0,3.0
HalfBath,1460.0,0.38287671232876713,0.5028853810928973,0.0,0.0,0.0,1.0,2.0
BedroomAbvGr,1460.0,2.8664383561643834,0.8157780441442212,0.0,2.0,3.0,3.0,8.0
KitchenAbvGr,1460.0,1.0465753424657533,0.22033819838402977,0.0,1.0,1.0,1.0,3.0
TotRmsAbvGrd,1460.0,6.517808219178082,1.625393290584064,2.0,5.0,6.0,7.0,14.0
Fireplaces,1460.0,0.613013698630137,0.6446663863122344,0.0,0.0,1.0,1.0,3.0
GarageYrBlt,1460.0,1974.150684931507,29.982046824940642,1900.0,1958.0,1977.0,2001.0,2010.0
GarageCars,1460.0,1.7671232876712328,0.7473150101111116,0.0,1.0,2.0,2.0,4.0
GarageArea,1460.0,472.9801369863014,213.80484145338076,0.0,334.5,480.0,576.0,1418.0
WoodDeckSF,1460.0,94.2445205479452,125.33879435172359,0.0,0.0,0.0,168.0,857.0
OpenPorchSF,1460.0,46.66027397260274,66.25602767664974,0.0,0.0,25.0,68.0,547.0
EnclosedPorch,1460.0,21.954109589041096,61.11914860172879,0.0,0.0,0.0,0.0,552.0
3SsnPorch,1460.0,3.4095890410958902,29.317330556782203,0.0,0.0,0.0,0.0,508.0
ScreenPorch,1460.0,15.060958904109588,55.757415281874486,0.0,0.0,0.0,0.0,480.0
PoolArea,1460.0,2.758904109589041,40.17730694453043,0.0,0.0,0.0,0.0,738.0
MiscVal,1460.0,43.489041095890414,496.1230244579311,0.0,0.0,0.0,0.0,15500.0
MoSold,1460.0,6.321917808219178,2.7036262083595197,1.0,5.0,6.0,8.0,12.0
YrSold,1460.0,2007.8157534246575,1.328095120552104,2006.0,2007.0,2008.0,2009.0,2010.0
SalePrice,1460.0,180921.19589041095,79442.50288288663,34900.0,129975.0,163000.0,214000.0,755000.0
